distance_delta,packet_rate_delta,energy_delta,is_capture,is_flooder_attack,is_faker_attack,attack_success
2232,135,8,True,True,False,True
2782,96,17,True,True,True,True
4393,109,16,True,True,True,True
4587,92,8,True,True,False,True
3901,131,18,True,False,False,True
4771,113,6,True,False,True,True
2956,96,4,True,True,False,True
3433,45,12,True,True,True,True
1836,184,13,True,True,True,True
1401,121,17,False,False,True,True
4929,119,4,True,True,False,True
1860,91,16,False,False,True,True
2245,50,1,True,False,False,True
2089,112,3,True,True,False,True
155,123,0,False,False,False,False
1899,50,8,False,False,False,False
1348,13,18,False,False,True,True
1247,113,17,False,False,True,True
2680,192,5,True,True,False,True
4365,104,19,True,False,True,True
2389,11,16,False,False,True,True
3379,191,17,True,True,True,True
4919,53,16,True,True,True,True
3324,131,0,False,True,False,True
2961,25,3,False,False,False,False
1789,137,6,False,True,False,True
399,175,8,False,True,False,True
4963,72,11,True,False,False,True
3664,48,7,True,False,False,False
1714,162,9,True,True,False,True
955,136,11,False,False,True,True
2448,53,1,True,False,False,True
3221,57,3,False,False,False,False
1336,121,13,False,False,True,True
4456,123,0,False,True,False,True
3933,21,15,True,False,True,True
3158,25,1,False,False,False,False
4358,56,1,True,False,False,True
4538,103,18,True,False,True,True
1197,27,2,False,False,False,False
1202,104,2,False,True,False,True
1836,155,12,False,True,True,False
1636,59,1,False,False,False,False
2910,68,15,True,True,True,True
1813,153,5,False,True,False,True
4495,133,7,True,True,False,True
1795,136,10,True,True,True,True
1938,71,18,False,False,True,False
2160,147,19,False,True,True,True
730,57,20,False,False,True,True
1313,17,2,False,False,False,False
2437,120,0,False,False,False,False
1084,73,15,False,True,True,True
1635,40,5,False,False,False,False
3814,51,8,True,False,False,True
4462,71,7,True,False,False,True
4357,73,10,True,True,False,True
3746,141,3,True,True,False,False
2662,189,7,True,True,False,True
2176,113,19,False,True,True,True
2990,70,9,True,False,True,True
142,164,9,False,True,True,False
1551,68,17,False,True,True,True
8,166,1,False,True,False,True
1828,98,12,True,True,True,True
2882,104,14,True,True,True,True
2776,174,4,True,True,False,True
970,123,6,False,True,True,True
3057,167,12,True,True,True,True
1607,31,11,False,False,False,False
3274,67,11,True,True,False,True
1606,120,10,True,True,True,True
4040,17,7,True,False,False,True
4428,43,10,True,False,False,True
3158,12,9,False,False,False,False
409,106,11,False,False,True,False
2718,13,9,False,False,True,True
2426,46,7,True,False,False,True
2057,184,7,False,True,False,True
4900,91,0,True,False,False,False
603,5,4,False,False,False,False
2371,51,2,False,False,False,False
2262,14,1,True,False,False,True
3713,185,5,True,True,False,True
929,170,19,False,True,True,True
623,163,2,False,True,False,True
1138,45,7,False,False,True,True
4364,42,20,True,False,True,True
3702,164,4,True,True,False,True
287,76,2,False,False,False,False
936,9,15,False,False,False,False
1178,128,4,False,True,False,False
980,12,7,False,False,False,False
627,169,6,False,True,False,True
53,75,13,False,True,True,True
2457,99,3,True,True,False,True
612,148,4,False,True,False,False
2828,119,0,False,True,False,True
1817,22,11,True,False,False,True
2120,41,18,False,False,True,True
1171,87,1,False,False,False,False
2676,153,18,False,True,True,False
3976,177,0,True,True,False,True
1877,196,13,False,True,True,True
1533,8,14,False,False,True,True
1215,147,20,True,True,True,True
4458,33,6,True,False,False,True
1734,199,9,False,True,False,True
685,99,7,False,True,False,True
3458,109,19,True,True,True,True
1860,164,10,True,False,True,True
311,135,9,False,True,False,True
2587,11,0,True,False,False,True
3435,69,16,True,False,True,True
1786,89,5,True,False,True,False
4528,200,16,True,False,True,True
4426,106,10,True,True,False,False
4294,142,16,True,True,True,True
4198,101,18,True,False,False,True
249,20,10,False,False,False,False
1016,14,14,False,False,True,True
1389,87,2,False,True,False,False
1769,8,5,False,False,False,False
2571,171,13,False,False,True,True
1702,186,2,False,True,False,True
2862,129,4,True,False,False,True
2002,119,9,False,True,False,False
2369,170,14,False,True,True,True
4125,114,18,True,True,False,True
3388,74,11,True,False,True,False
97,91,2,False,False,False,False
3994,148,7,True,True,False,False
4345,161,13,True,True,True,True
2378,29,15,True,False,False,True
3629,116,20,True,True,True,True
170,131,9,False,True,True,False
222,77,2,False,True,False,True
3926,178,17,True,True,True,True
4373,113,12,True,False,False,True
2962,191,12,True,True,False,True
1390,94,17,False,False,True,False
1978,145,9,False,True,False,True
886,178,16,False,True,False,False
4115,135,20,True,True,True,True
1332,164,4,True,True,False,True
