distance_delta,packet_rate_delta,energy_delta,is_capture,is_flooder_attack,is_faker_attack,attack_success
2790,165,15,False,True,True,True
744,122,5,False,False,False,False
2273,1,6,True,False,True,True
4834,128,3,True,False,False,True
104,26,20,False,False,True,True
3218,114,7,True,True,False,True
4939,139,15,True,True,True,True
4027,9,12,False,False,True,True
1746,63,7,True,False,False,True
4058,61,11,False,False,False,False
1468,54,4,False,True,False,False
903,161,16,True,True,True,True
4839,166,8,True,True,True,True
3108,80,10,True,False,True,False
244,103,4,False,True,True,True
1826,2,20,False,False,True,True
779,24,17,False,False,False,False
1402,51,20,False,False,True,True
42,120,20,False,True,True,True
159,26,7,False,False,False,False
1736,178,7,False,True,False,True
2173,168,19,False,True,True,False
4849,129,15,True,False,True,False
1845,124,13,False,True,True,True
387,44,14,False,False,True,False
1016,68,6,True,False,False,True
4915,31,1,True,False,False,True
3349,196,0,True,True,False,True
1430,97,19,False,True,True,False
256,197,2,False,True,False,True
4451,62,17,False,False,False,False
3935,169,17,True,True,True,True
1634,4,5,False,False,False,False
1261,15,5,False,False,True,False
3256,77,1,False,True,False,True
2609,48,8,False,False,True,True
4872,190,2,True,True,False,True
766,198,20,False,True,True,True
2452,19,13,True,True,True,True
2590,196,20,True,True,True,True
692,174,12,False,True,True,True
3716,127,5,True,True,False,True
1759,36,20,False,True,True,True
1109,175,11,False,True,True,True
387,96,1,False,True,False,True
2167,184,6,True,True,False,True
1719,192,9,True,True,True,True
3164,136,4,False,True,False,True
2091,21,10,True,False,False,True
3426,13,12,True,False,True,False
1267,3,2,False,False,False,False
3549,20,9,True,False,True,False
3230,110,11,True,True,True,True
1946,117,6,False,True,False,False
117,110,4,False,False,False,False
4323,82,20,True,False,True,True
3904,92,3,True,False,False,True
3240,37,4,True,False,False,True
4457,152,4,True,True,False,False
315,66,13,False,True,True,True
1551,110,20,False,True,True,True
1164,135,13,False,True,True,True
3429,100,1,False,True,False,True
734,171,7,False,True,True,True
3465,12,9,True,False,True,False
1089,198,2,False,False,False,False
1290,59,3,True,False,False,True
3546,38,3,True,False,False,True
2643,159,1,False,True,False,True
3616,13,8,True,False,True,True
3004,174,17,False,True,True,True
884,75,8,False,False,True,True
1688,54,2,False,False,False,False
3983,20,20,True,False,True,False
4772,181,3,True,True,False,True
4784,153,4,True,False,False,False
449,167,15,False,True,True,True
1671,122,9,True,False,True,True
2987,97,5,False,True,True,True
1251,133,6,True,True,True,True
561,20,7,False,False,True,True
332,15,5,False,False,False,False
4378,117,4,True,False,False,True
450,20,5,False,False,False,False
4413,129,16,True,True,True,True
175,168,9,False,True,False,True
2060,56,12,True,False,True,False
2908,172,20,False,True,True,True
2986,66,0,False,False,False,False
1770,9,7,True,False,True,True
1614,27,14,False,False,True,True
328,191,4,False,True,False,False
3557,51,4,True,False,False,True
1458,121,8,False,True,True,True
0,49,12,False,False,True,True
3530,78,12,False,True,False,True
4780,88,17,True,True,True,True
643,32,5,False,False,True,False
3323,48,4,True,False,False,True
4434,99,3,True,False,False,True
